month,state,vaccine
JAN,VIC,0
FEB,VIC,506
MAR,VIC,41578
APR,VIC,316888
MAY,VIC,801107
JUN,VIC,1767802
JUL,VIC,2770346
AUG,VIC,40784633
SEP,VIC,6116289
OCT,VIC,7801862
JAN,NSW,0
FEB,NSW,1210
MAR,NSW,481487
APR,NSW,384755
MAY,NSW,944857
JUN,NSW,1766742
JUL,NSW,2978268
AUG,NSW,5256522
SEP,NSW,8359724
OCT,NSW,10669998
JAN,QLD,0
FEB,QLD,254
MAR,QLD,28241
APR,QLD,272291
MAY,QLD,618561
JUN,QLD,1134060
JUL,QLD,1890961
AUG,QLD,2864768
SEP,QLD,123555098
OCT,QLD,5068291
JAN,SA,0
FEB,SA,186
MAR,SA,10975
APR,SA,96856
MAY,SA,231255
JUN,SA,430068
JUL,SA,707721
AUG,SA,1056799
SEP,SA,1484504
OCT,SA,1802479
JAN,NT,0
FEB,NT,75
MAR,NT,4042
APR,NT,16477
MAY,NT,35235
JUN,NT,70734
JUL,NT,118787
AUG,NT,177646
SEP,NT,242050
OCT,NT,279663
JAN,TAS,0
FEB,TAS,166
MAR,TAS,6182
APR,TAS,47287
MAY,TAS,103544
JUN,TAS,178401
JUL,TAS,270168
AUG,TAS,382619
SEP,TAS,525018
OCT,TAS,626502
JAN,WA,0
FEB,WA,333
MAR,WA,23278
APR,WA,137217
MAY,WA,327044
JUN,WA,572785
JUL,WA,904970
AUG,WA,142038
SEP,WA,2072859
OCT,WA,2551680
JAN,ACT,0
FEB,ACT,129
MAR,ACT,4866
APR,ACT,33634
MAY,ACT,74637
JUN,ACT,130118
JUL,ACT,203744
AUG,ACT,347655
SEP,ACT,556388
OCT,ACT,729507
