month,state,confirmed
JAN,VIC,80
FEB,VIC,33
MAR,VIC,5
APR,VIC,34
MAY,VIC,80
JUN,VIC,114
JUL,VIC,232
AUG,VIC,1127
SEP,VIC,15262
OCT,VIC,18603
JAN,NSW,181
FEB,NSW,73
MAR,NSW,115
APR,NSW,185
MAY,NSW,110
JUN,NSW,239
JUL,NSW,3088
AUG,NSW,18095
SEP,NSW,35344
OCT,NSW,7199
JAN,QLD,57
FEB,QLD,19
MAR,QLD,138
APR,QLD,92
MAY,QLD,59
JUN,QLD,78
JUL,QLD,104
AUG,QLD,179
SEP,QLD,56
OCT,QLD,32
JAN,SA,21
FEB,SA,16
MAR,SA,42
APR,SA,69
MAY,SA,30
JUN,SA,53
JUL,SA,52
AUG,SA,12
SEP,SA,30
OCT,SA,12
JAN,NT,24
FEB,NT,7
MAR,NT,3
APR,NT,58
MAY,NT,7
JUN,NT,11
JUL,NT,15
AUG,NT,3
SEP,NT,9
OCT,NT,5
JAN,WA,42
FEB,WA,10
MAR,WA,29
APR,WA,57
MAY,WA,19
JUN,WA,10
JUL,WA,29
AUG,WA,29
SEP,WA,10
OCT,WA,15
JAN,ACT,0
FEB,ACT,0
MAR,ACT,5
APR,ACT,1
MAY,ACT,0
JUN,ACT,0
JUL,ACT,0
AUG,ACT,274
SEP,ACT,561
OCT,ACT,427
