Month,state,state_abbrev,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines
January,Victoria,VIC,3,0,0,0,0,0,0,0,0
February,Victoria,VIC,4,0,0,0,0,0,0,0,0
March,Victoria,VIC,910,4,45000,908,291,32,6,0,0
April,Victoria,VIC,444,14,70118,444,1000,-14,3,5,0
May,Victoria,VIC,288,1,394573,288,266,-12,-7,-4,0
June,Victoria,VIC,510,1,2998898,510,259,3,-1,-1,0
July,Victoria,VIC,8418,93,798863,8418,2663,340,35,23,0
August,Victoria,VIC,8503,455,616435,8503,11335,104,-15,-10,0
September,Victoria,VIC,1089,233,470072,1089,3192,-409,-15,-10,0
October,Victoria,VIC,178,21,479262,178,451,-42,-6,-3,0
November,Victoria,VIC,0,1,400049,0,68,-2,0,0,0
December,Victoria,VIC,23,0,301623,23,13,0,0,0,0
January,New South Wales,NSW,4,0,0,0,0,0,0,0,0
February,New South Wales,NSW,0,0,0,0,0,0,0,0,0
March,New South Wales,NSW,2028,8,99951,2027,0,0,0,0,0
April,New South Wales,NSW,1173,33,120095,1176,2284,256,15,13,0
May,New South Wales,NSW,79,8,283418,84,401,5,-14,-13,0
June,New South Wales,NSW,94,1,351860,98,99,8,-1,0,0
July,New South Wales,NSW,378,0,606831,378,16,30,8,4,0
August,New South Wales,NSW,294,3,709332,294,2,18,-2,0,0
September,New South Wales,NSW,174,1,527214,174,0,13,-3,-4,0
October,New South Wales,NSW,197,0,356472,197,0,12,-2,0,0
November,New South Wales,NSW,156,0,417649,157,0,6,-1,0,0
December,New South Wales,NSW,346,1,614747,346,0,11,0,0,0
January,Queensland,QLD,2,0,0,0,0,0,0,0,0
February,Queensland,QLD,7,0,0,0,0,0,0,0,0
March,Queensland,QLD,734,3,49382,734,0,0,0,0,0
April,Queensland,QLD,290,3,58755,290,943,11,6,4,0
May,Queensland,QLD,25,0,87300,25,103,-10,-5,-4,0
June,Queensland,QLD,9,0,169544,9,8,0,-1,0,0
July,Queensland,QLD,16,0,170863,16,12,4,0,0,0
August,Queensland,QLD,39,0,359945,39,18,13,0,0,0
September,Queensland,QLD,35,0,215203,35,58,-15,0,0,0
October,Queensland,QLD,14,0,125855,14,18,1,0,0,0
November,Queensland,QLD,31,0,116474,31,24,9,0,0,0
December,Queensland,QLD,51,0,123787,51,24,1,0,0,0
January,South Australia,SA,0,0,0,0,0,0,0,0,0
February,South Australia,SA,3,0,0,0,0,0,0,0,0
March,South Australia,SA,334,0,27344,344,0,0,0,0,0
April,South Australia,SA,101,4,30079,101,420,3,1,0,0
May,South Australia,SA,2,0,42042,2,15,-3,-1,0,0
June,South Australia,SA,3,0,51820,3,1,0,0,0,0
July,South Australia,SA,7,0,86481,7,7,0,0,0,0
August,South Australia,SA,13,0,139885,13,15,0,0,0,0
September,South Australia,SA,5,0,91089,5,6,0,0,0,0
October,South Australia,SA,33,0,83059,33,19,0,0,0,0
November,South Australia,SA,61,0,174232,61,61,0,0,0,0
December,South Australia,SA,14,0,104715,14,21,1,0,0,0
January,Northern Territory,NT,0,0,0,0,0,0,0,0,0
February,Northern Territory,NT,0,0,0,0,0,0,0,0,0
March,Northern Territory,NT,19,0,2100,19,3,0,0,0,0
April,Northern Territory,NT,8,0,2432,8,22,3,0,0,0
May,Northern Territory,NT,2,0,3688,2,4,-3,0,0,0
June,Northern Territory,NT,0,0,0,0,0,0,0,0,0
July,Northern Territory,NT,3,0,11231,3,1,1,0,0,0
August,Northern Territory,NT,1,0,11060,1,3,-1,0,0,0
September,Northern Territory,NT,0,0,11929,0,0,0,0,0,0
October,Northern Territory,NT,5,0,11239,5,0,5,0,0,0
November,Northern Territory,NT,14,0,12246,14,8,1,0,0,0
December,Northern Territory,NT,22,0,11313,22,29,-2,0,0,0
January,Tasmania,TAS,0,0,0,0,0,0,0,0,0
February,Tasmania,TAS,0,0,0,0,0,0,0,0,0
March,Tasmania,TAS,69,2,0,69,0,0,0,0,0
April,Tasmania,TAS,154,10,11909,154,144,14,0,0,0
May,Tasmania,TAS,5,1,16738,5,64,-12,0,0,0
June,Tasmania,TAS,0,0,20743,0,7,-2,0,0,0
July,Tasmania,TAS,1,0,19515,1,1,1,0,0,0
August,Tasmania,TAS,1,0,18813,1,0,0,0,0,0
September,Tasmania,TAS,0,0,15702,0,1,-1,0,0,0
October,Tasmania,TAS,0,0,14087,0,0,0,0,0,0
November,Tasmania,TAS,0,0,11553,0,0,0,0,0,0
December,Tasmania,TAS,4,0,14546,4,4,0,0,0,0
January,Western Australia,WA,0,0,0,0,0,0,0,0,0
February,Western Australia,WA,2,0,0,0,0,0,0,0,0
March,Western Australia,WA,362,2,14704,362,48,0,0,0,0
April,Western Australia,WA,187,6,23098,187,459,13,3,0,0
May,Western Australia,WA,33,1,53728,33,40,-13,-3,0,0
June,Western Australia,WA,15,0,90983,15,37,0,0,0,0
July,Western Australia,WA,41,0,67276,41,38,0,0,0,0
August,Western Australia,WA,15,0,95425,15,19,0,0,0,0
September,Western Australia,WA,29,0,73559,29,12,0,0,0,0
October,Western Australia,WA,84,0,69217,84,62,0,0,0,0
November,Western Australia,WA,50,0,65519,50,73,0,0,0,0
December,Western Australia,WA,43,0,72938,43,50,0,0,0,0
January,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0
February,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0
March,Australian Capital Territory,ACT,80,1,4443,80,3,0,0,0,0
April,Australian Capital Territory,ACT,26,2,4231,26,100,0,0,0,0
May,Australian Capital Territory,ACT,1,0,9940,1,1,0,0,0,0
June,Australian Capital Territory,ACT,1,0,11479,1,1,0,0,0,0
July,Australian Capital Territory,ACT,5,0,21263,5,4,0,0,0,0
August,Australian Capital Territory,ACT,0,0,25253,0,1,0,0,0,0
September,Australian Capital Territory,ACT,0,0,18182,0,0,0,0,0,0
October,Australian Capital Territory,ACT,1,0,12685,1,1,0,0,0,0
November,Australian Capital Territory,ACT,3,0,13218,3,1,0,0,0,0
December,Australian Capital Territory,ACT,1,0,16748,1,2,0,0,0,0
